section_id,section_title,question_number,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,points,image_url,audio_url,passage_text
intro,Introduction,1,Full name,long_text,,,,,,0,,,
intro,Introduction,2,WhatsApp phone number,long_text,,,,,,0,,,
grammar_1,Grammar — Level 1 (Beginner),1,1. .......... name is Katie.,multiple_choice,I,my,me,I am,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),2,2. What's ......... name?,multiple_choice,you,you're,your,all of the above,C,1,,,
grammar_1,Grammar — Level 1 (Beginner),3,3. How old ...... you?,multiple_choice,are,is,am,do,A,1,,,
grammar_1,Grammar — Level 1 (Beginner),4,4. .......... brothers and sister do you have?,multiple_choice,how,how many,what,how much,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),5,5. ....... are you from? I'm from Canada.,multiple_choice,how,where,when,what,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),6,6. How ...... you spell your name?,multiple_choice,does,do,are,is,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),7,7. ............. your phone number?,multiple_choice,what,how,what's,how's,C,1,,,
grammar_1,Grammar — Level 1 (Beginner),8,8. Can you cook?,multiple_choice,"Yes, I can","Yes, I do","Yes, I am","Yes, I have",A,1,,,
grammar_1,Grammar — Level 1 (Beginner),9,9. I don't know her; is she your friend?,multiple_choice,"Yes, she's","Yes, she does","Yes, she is","Yes, she isn't",C,1,,,
grammar_1,Grammar — Level 1 (Beginner),10,10. Do you know ......man over there?,multiple_choice,This,These,That,Those,C,1,,,
grammar_1,Grammar — Level 1 (Beginner),11,"11. ….................. the summer, we go to the beach.",multiple_choice,in,at,on,,A,1,,,
grammar_1,Grammar — Level 1 (Beginner),12,12. My brother always goes to the restaurant ............... his birthday,multiple_choice,in,at,on,,C,1,,,
grammar_1,Grammar — Level 1 (Beginner),13,13. Do you sleep well …...................... night?,multiple_choice,in,at,on,,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),14,14. We sometimes eat dinner ….................. seven o'clock.,multiple_choice,in,at,on,,B,1,,,
grammar_1,Grammar — Level 1 (Beginner),15,15. Her exams are …...................... June.,multiple_choice,in,at,on,,A,1,,,
grammar_1,Grammar — Level 1 (Beginner),16,"16. Wednesday, .........., Friday, Saturday",multiple_choice,Monday,Tuesday,Thursday,,C,1,,,
grammar_1,Grammar — Level 1 (Beginner),17,17. Choose the correct spelling:,multiple_choice,three watch,three watchs,three watches,all of the above,C,1,,,
